COUNTY,ZIP,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
26145,48724,0.007029933,0.005866599,0.000298775,0.006729922
26145,48601,0.195449099,0.139395485,0.136241410,0.189404639
26145,48460,0.003615697,0.000637674,0.000597550,0.003298609
26145,48607,0.011281823,0.056880500,0.030773827,0.015289244
26145,48457,0.005640911,0.001402882,0.001195100,0.005184883
26145,48655,0.029190656,0.016707053,0.014639976,0.027801211
26145,48602,0.144606674,0.130595587,0.160143412,0.144058238
26145,48623,0.048944450,0.027547507,0.025993427,0.046626034
26145,48662,0.000074223,0.000000000,0.000000000,0.000066351
26145,48609,0.059908176,0.041066191,0.042127278,0.057943677
26145,48605,0.008980925,0.037877822,0.000597550,0.010862662
26145,48722,0.015014155,0.021553373,0.004481625,0.015166021
26145,48734,0.041660040,0.048718276,0.038840753,0.042095186
26145,48608,0.004124651,0.025124346,0.000597550,0.005573513
26145,48626,0.026645884,0.008417294,0.010158351,0.024768007
26145,48831,0.002502359,0.000382604,0.000000000,0.002265424
26145,48747,0.000137842,0.000127535,0.000000000,0.000132703
26145,48768,0.000031810,0.000000000,0.000000000,0.000028436
26145,48708,0.000116635,0.000510139,0.000000000,0.000142181
26145,48787,0.000000000,0.000127535,0.000000000,0.000009479
26145,48663,0.000000000,0.000127535,0.000000000,0.000009479
26145,48614,0.005757547,0.000892743,0.000000000,0.005213320
26145,48603,0.150841365,0.159035837,0.288616672,0.155821382
26147,48028,0.012320789,0.003148986,0.000419992,0.011421716
26147,48060,0.244926734,0.369415469,0.457790844,0.258596281
26147,48064,0.024760173,0.011218264,0.002519950,0.023299340
26147,48054,0.041996100,0.021255658,0.023939521,0.040215957
26147,48059,0.107250158,0.118677426,0.099958001,0.107738452
26147,48444,0.000342610,0.000196812,0.000000000,0.000323935
26147,48040,0.061788425,0.082857705,0.077698446,0.063527295
26147,48001,0.079749104,0.045660303,0.055858883,0.076988602
26147,48002,0.016458465,0.003542610,0.003779924,0.015308938
26147,48014,0.022243306,0.007872466,0.012179756,0.021079784
26147,48022,0.013691229,0.004133045,0.003359933,0.012813437
26147,48032,0.010383723,0.002558551,0.002099958,0.009670066
26147,48097,0.026156968,0.025191891,0.029399412,0.026190762
26147,48041,0.019252056,0.005904350,0.002519950,0.017960408
26147,48049,0.029029623,0.005313915,0.002099958,0.026814637
26147,48074,0.053368121,0.058059437,0.031499370,0.053029394
26147,48006,0.021123234,0.003739421,0.004619908,0.019592082
26147,48079,0.073173624,0.071049006,0.099958001,0.073809238
26147,48061,0.012373498,0.051958276,0.000839983,0.014457109
26147,48003,0.000013177,0.000000000,0.000000000,0.000011998
26147,48416,0.001554923,0.000196812,0.000000000,0.001427714
26147,48039,0.048426629,0.064947845,0.060058799,0.049766047
26147,48004,0.000368965,0.000000000,0.000419992,0.000347930
26147,48063,0.023205250,0.008856524,0.002939941,0.021751650
26147,48023,0.039097090,0.029324936,0.020579588,0.037972406
26147,48027,0.016946026,0.004920291,0.005459891,0.015884823
26149,49075,0.000000000,0.000464684,0.000000000,0.000030538
26149,49067,0.011647479,0.001858736,0.000000000,0.010688328
26149,49052,0.000336632,0.000000000,0.000000000,0.000305381
26149,49099,0.078334343,0.048791822,0.027027027,0.075001527
26149,49030,0.036558271,0.011152416,0.010135135,0.034172113
26149,49032,0.039554299,0.032527881,0.041666667,0.039149820
26149,49042,0.072241298,0.059944238,0.033783784,0.070390277
26149,49040,0.056116609,0.017193309,0.015765766,0.052464423
26149,49093,0.305224534,0.349907063,0.408783784,0.310969279
26149,49091,0.342119437,0.464684015,0.449324324,0.353081292
26149,49097,0.001211876,0.000000000,0.000000000,0.001099371
26149,49087,0.000067326,0.000000000,0.000000000,0.000061076
26149,49011,0.000437622,0.000464684,0.000000000,0.000427533
26149,49066,0.010603918,0.001858736,0.000000000,0.009741648
26149,49072,0.045546354,0.011152416,0.013513514,0.042417394
26151,48410,0.000807646,0.002284844,0.006185567,0.000996471
26151,48450,0.175528335,0.111957350,0.189690722,0.172347934
26151,48032,0.005339436,0.002284844,0.000000000,0.005065393
26151,48472,0.036523534,0.017517136,0.012371134,0.035001038
26151,48471,0.118589312,0.328255903,0.239175258,0.132447581
26151,48466,0.031946875,0.020563595,0.041237113,0.031513390
