Zip,Population Total,Slab 1,Slab 2,Slab 3,Slab 4,Slab 5,Slab 6
52540,610,0.344262295,0.31147541,0.163934426,0.098360656,0.081967213,0
52542,170,0.352941176,0.294117647,0.176470588,0.176470588,0,0
52543,100,0.4,0,0.4,0,0.2,0
52544,3150,0.422222222,0.276190476,0.136507937,0.085714286,0.06984127,0.00952381
52549,280,0.464285714,0.285714286,0.107142857,0.142857143,0,0
52550,220,0.363636364,0.272727273,0.181818182,0.181818182,0,0
52551,300,0.4,0.266666667,0.133333333,0.1,0.1,0
52552,280,0.392857143,0.25,0.178571429,0.071428571,0.107142857,0
52553,730,0.342465753,0.273972603,0.164383562,0.109589041,0.109589041,0
52554,550,0.381818182,0.309090909,0.181818182,0.072727273,0.054545455,0
52555,130,0.384615385,0.307692308,0.307692308,0,0,0
52556,5350,0.411214953,0.246728972,0.13271028,0.087850467,0.091588785,0.029906542
52560,190,0.368421053,0.315789474,0.105263158,0.210526316,0,0
52561,420,0.333333333,0.261904762,0.19047619,0.119047619,0.095238095,0
52563,630,0.333333333,0.26984127,0.158730159,0.126984127,0.111111111,0
52565,830,0.337349398,0.277108434,0.144578313,0.120481928,0.096385542,0.024096386
52567,260,0.307692308,0.269230769,0.192307692,0.115384615,0.115384615,0
52569,260,0.384615385,0.230769231,0.192307692,0.115384615,0.076923077,0
52570,310,0.419354839,0.322580645,0.129032258,0.129032258,0,0
52571,650,0.338461538,0.292307692,0.153846154,0.092307692,0.123076923,0
52572,420,0.428571429,0.261904762,0.19047619,0.119047619,0,0
52574,330,0.363636364,0.303030303,0.181818182,0.090909091,0.060606061,0
52576,230,0.304347826,0.304347826,0.173913043,0.130434783,0.086956522,0
52577,6290,0.357710652,0.259141494,0.162162162,0.098569157,0.103338633,0.019077901
52580,200,0.3,0.3,0.2,0.1,0.1,0
52581,120,0.416666667,0.25,0.166666667,0.166666667,0,0
52583,140,0.428571429,0.285714286,0.285714286,0,0,0
52584,150,0.4,0.333333333,0.133333333,0.133333333,0,0
52585,410,0.292682927,0.317073171,0.146341463,0.12195122,0.12195122,0
52586,220,0.318181818,0.272727273,0.181818182,0.090909091,0.136363636,0
52590,440,0.409090909,0.318181818,0.159090909,0.068181818,0.045454545,0
52591,1250,0.32,0.28,0.176,0.104,0.12,0
52594,160,0.3125,0.25,0.25,0.1875,0,0
52595,190,0.368421053,0.315789474,0.157894737,0.157894737,0,0
52601,13620,0.387665198,0.273861968,0.140969163,0.086637298,0.09030837,0.020558003
52619,270,0.37037037,0.222222222,0.185185185,0.111111111,0.111111111,0
52620,370,0.351351351,0.324324324,0.162162162,0.081081081,0.081081081,0
52621,330,0.272727273,0.272727273,0.181818182,0.121212121,0.151515152,0
