Zip,Slab 1 - Medical Tax Credit V2,Slab 2 - Medical Tax Credit V2,Slab 3 - Medical Tax Credit V2,Slab 4 - Medical Tax Credit V2,Slab 5 - Medical Tax Credit V2,Slab 6 - Medical Tax Credit V2,Total Medical Tax Credit V2
96793,0.004707465,0.00403497,0.002017485,0,0,0,0.010759919
96795,0.004192872,0,0,0,0,0,0.004192872
96796,0,0,0,0,0,0,0
96797,0.002458345,0.002185195,0,0,0,0,0.00464354
96813,0.005726557,0.005010737,0,0,0,0,0.010737294
96814,0.007111111,0.006222222,0,0,0,0,0.013333333
96815,0.006747638,0.005398111,0.002699055,0,0,0,0.014844804
96816,0.004973221,0.003442999,0.001530222,0,0,0,0.009946442
96817,0.009246088,0.0056899,0.000711238,0,0,0,0.015647226
96818,0.003636364,0.002272727,0.001363636,0,0,0,0.007272727
96819,0.007943144,0.003762542,0,0,0,0,0.011705686
96821,0.004098361,0.004098361,0,0,0,0,0.008196721
96822,0.005663049,0.005191128,0.000943841,0,0,0,0.011798018
96825,0.003913894,0.002609263,0.001956947,0,0,0,0.008480104
96826,0.00848564,0.005221932,0.001958225,0,0,0,0.015665796
96853,0,0,0,0,0,0,0
96857,0,0,0,0,0,0,
96859,0,0,0,0,0,0,
96860,0,0,0,0,0,0,0
96863,0,0,0,0,0,0,0
97001,0,0,0,0,0,0,0
97002,0.01056338,0.014084507,0.007042254,0,0,0,0.031690141
97004,0.022222222,0,0.008888889,0,0,0,0.031111111
97005,0.012254902,0.013888889,0.004901961,0,0,0,0.031045752
97006,0.010511228,0.011944577,0.004300048,0.001433349,0.001433349,0,0.029622551
97007,0.0098434,0.01163311,0.004474273,0.002237136,0.001789709,0,0.029977629
97008,0.013689254,0.013689254,0.004106776,0.002737851,0,0,0.034223135
97009,0.009259259,0.011574074,0.006944444,0,0,0,0.027777778
97011,0,0,0,0,0,0,0
97013,0.010082493,0.010999083,0.004582951,0.001833181,0,0,0.027497709
97014,0,0,0,0,0,0,0
97015,0.012334802,0.014977974,0.005286344,0.002643172,0,0,0.035242291
97016,0.015625,0.015625,0.0078125,0,0,0,0.0390625
97017,0.02238806,0.02238806,0,0,0,0,0.044776119
97018,0.03,0,0,0,0,0,0.03
97019,0.012903226,0.019354839,0,0,0,0,0.032258065
97020,0,0,0,0,0,0,0
97021,0,0,0,0,0,0,0
97022,0.011976048,0.017964072,0,0,0,0,0.02994012
97023,0.014256619,0.014256619,0.00814664,0,0,0,0.036659878
97024,0.013937282,0.013937282,0.006968641,0,0,0,0.034843206
97026,0,0.024096386,0,0,0,0,0.024096386
97027,0.01147541,0.013114754,0.006557377,0,0,0,0.031147541
97028,0,0,0,0,0,0,0
97029,0,0,0,0,0,0,0
97030,0.010573178,0.013355593,0.003895381,0.001669449,0,0,0.0294936
97031,0.017391304,0.02173913,0.009782609,0.004347826,0.00326087,0,0.056521739
97032,0,0.021186441,0,0,0,0,0.021186441
97034,0.009090909,0.008080808,0.005050505,0.003030303,0,0,0.025252525
97035,0.014007782,0.012451362,0.005447471,0,0.00155642,0,0.033463035
97037,0.055555556,0,0,0,0,0,0.055555556
97038,0.014144272,0.008486563,0.005657709,0.004243281,0,0,0.032531825
97039,0,0,0,0,0,0,0
97040,0.061538462,0,0,0,0,0,0.061538462
97041,0.01986755,0.01986755,0.01986755,0,0,0,0.059602649
97042,0,0.028571429,0,0,0,0,0.028571429
97045,0.012181195,0.011800533,0.004567948,0.001522649,0.001141987,0,0.031214313
97048,0.014545455,0.018181818,0,0,0,0,0.032727273
97049,0.041666667,0,0,0,0,0,0.041666667
97050,0,0,0,0,0,0,0
