Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Belarus,8224864.538797205,8257905.977534033,8328153.251660594,8432340.202731665,8535005.35617916,8640298.531976573,8716733.731429636,8789538.85100712,8864107.608654097,8942329.532147057,9021582.07096584,9101240.54180679,9173808.007992744,9242643.199721765,9306908.21689279,9364633.598078836,9427825.735834382,9487091.912482366,9546479.381579427,9605866.237832826,9662977.635570373,9716907.428904321,9773051.357176619,9825575.73954012,9886640.501837905,9950883.488665467,10014526.83459959,10080474.207872774,10142413.32361542,10195889.68957054,10229035.953653172,10243341.552649802,10236080.220544798,10212039.893266957,10186795.428248819,10173840.89496604,10146387.39208271,10117602.82391676,10087110.99511737,10040806.1528955
Belgium,9147546.907978013,9200718.6547914,9260122.683019107,9323884.932037897,9382483.827052288,9439090.682285877,9494028.229811199,9534716.97554004,9572588.196052019,9621428.597213864,9661910.12173783,9701086.14459092,9742731.216700539,9774695.736066146,9794929.020582367,9801899.413919283,9803784.295745842,9811789.52500153,9824527.993243514,9841501.860099073,9857123.863596795,9870482.941958616,9874753.165170772,9871240.27567733,9861988.123344025,9857001.51220426,9861964.4451449,9869528.22557925,9885170.037351677,9914433.141339198,9954058.285354236,9997997.544533653,10045652.547940012,10088203.45625607,10117554.589697173,10143649.789005483,10168205.027161822,10189545.023634456,10205008.472668938,10221657.518912531
Belize,92304.87415655871,94888.66849742892,97576.29777675,100400.59181168964,103338.4310515235,106360.51252270325,109547.88322353439,112839.19999246599,116084.91289930424,119139.46114178057,122008.88778766885,124578.22590837584,126685.04070667762,128523.87681809749,130341.40189654697,132363.97100043407,134558.96287885215,136975.4291198243,139639.1421957473,142544.10104135337,145537.66111120058,148769.18799754366,152224.0753956896,155861.7977578928,159642.50593680615,163616.5118413196,167799.423002753,172127.74890531658,176604.83430438882,181213.56826452806,186058.31819377735,191146.21036119288,196334.8590021385,201511.73195447252,206644.32502531496,211767.5997771248,216869.94606124915,222007.88022250493,227117.57013101585,232236.3723264526
Benin,2436878.3290390903,2474358.3396081235,2516746.523029994,2549167.1841760552,2584330.3375033275,2620419.925973564,2672082.662221422,2726900.655532582,2789954.5008403705,2839194.1280980175,2902370.3631147183,2969828.79960657,3044005.479511193,3128371.1578041045,3202728.59856632,3279924.4223781326,3360198.948990475,3437100.8424385227,3515448.8207140155,3599902.9465684765,3694462.7355463323,3800637.170458848,3915585.0793731436,4038938.116999519,4163508.721983925,4289510.323050362,4417797.196714813,4549038.611762501,4685352.352044012,4828501.489957829,4984291.437332461,5151604.764257143,5331290.557219749,5519982.652090579,5709263.236556759,5893444.625757492,6085038.487279715,6277441.09775253,6470412.288493238,6671588.089653956
Bermuda,44497.48014271584,45549.621995306086,46624.540284428615,47751.03684556051,48915.64310359395,50099.18141562331,51118.71004550253,52174.67332352998,53137.97556635684,53878.28161016941,54392.386713823966,54575.63714928313,54307.20476935441,53792.95071105137,53296.000120556106,53039.47665193464,53086.4490172024,53380.57014124774,53860.4996973302,54406.44641038028,54818.21998889812,55158.68936773425,55441.51416711858,55676.53520703612,55992.19616709096,56401.97967305632,56890.190427562346,57413.59864428071,57947.359685873445,58450.467053575085,58918.02919639633,59372.35079809529,59707.428765490105,59879.06777003637,59985.20380971298,60172.32231492173,60270.96517608307,60402.55381398257,60510.10085721959,60517.46140088527
Bhutan,228496.70578361535,225898.73859107587,229026.06519041338,237351.2419031351,245581.59077108523,254564.16666140722,263885.0025089516,272951.81200192607,282655.30451217236,293103.614845157,303316.99421779,313471.7687083619,323469.7603021926,333532.3186243841,343291.34093948116,352093.43407905375,360843.31740897405,369031.8781308027,377646.64777486527,387243.7235749058,398410.82705853845,410993.50940545497,425644.4599568704,440944.50966591097,456278.0377089513,471227.0979193847,485807.5377874443,500345.95104366064,513596.03397657035,524449.1379710435,531615.761945352,534541.023552289,533797.118764564,531295.7210759766,529403.6028244715,529344.592886931,530591.4700550704,533045.0050434995,536031.4632862649,537590.7115419979
Bolivia,3692995.355270505,3770194.8339019767,3844215.695677405,3915031.266523424,3987978.945778509,4061705.9221587796,4147474.0744574787,4235191.97721814,4324182.701045593,4414544.465307316,4507062.013976111,4601863.750793682,4700257.597563793,4801618.051400343,4906071.989399504,5013933.968050232,5121407.244734155,5231667.110445904,5344467.3848703755,5460470.804402638,5580339.679452548,5704994.748675562,5832956.65401304,5963953.728055652,6091927.058814025,6218283.659629241,6344237.330492595,6468944.653438199,6593924.415230215,6720367.600892719,6852350.94102058,6988885.965113632,7130606.946342841,7277004.374457652,7424307.105944339,7568630.507194653,7718982.742792238,7870701.060604263,8022792.070031274,8178418.604828855
Bosnia and Herzegovina,3328057.133982742,3309549.6781623857,3333673.897256789,3396710.015674509,3456667.294504703,3518599.9943968365,3571493.909130091,3619769.640358286,3669238.542988537,3721264.6773942634,3772341.731674753,3820875.9223536868,3859109.313871082,3893641.807289753,3927268.491446007,3960092.6157679763,4000530.145379897,4042751.4153195284,4089780.713547795,4138856.84013337,4184728.7844441943,4228006.328636752,4274513.42014891,4315455.094777293,4353626.014226761,4388589.143050312,4420280.906850018,4449388.097817857,4466855.743168218,4464183.375916609,4432780.539871648,4370222.702250786,4276405.296326022,4162935.9414757527,4050007.241388457,3951674.216583442,3857269.6217213627,3771561.1678357236,3687756.4347555283,3589089.1481213868
Botswana,520239.28530191875,536988.9488733632,552249.334652327,566044.6971131933,581056.6974727364,597628.8483255291,614588.7394341198,633046.783175997,653052.9577601628,674204.9739981864,695003.4055698566,716475.1492399755,742026.578606521,770377.0802513995,800462.8394710678,831042.4594624322,862878.1507294346,895060.4309668848,927407.5792664294,960301.1575663202,996179.1837637275,1033050.0205466951,1070798.6311386423,1109851.2198344457,1150209.909464952,1190265.8637202666,1229462.3075239696,1268613.8532669256,1307536.2360862114,1346273.4149459994,1383065.4578673774,1417640.9570927091,1451879.1844021126,1487110.7759134024,1523613.9482203051,1560868.7661312984,1598782.4116260554,1636351.9754474822,1674563.8533097063,1713050.932459852
Brazil,71843342.28155252,74758398.03256616,76788932.8562651,78941615.8580131,81180546.17667334,83518399.31574933,85744314.56122367,88056859.22751914,90033229.21680848,93057946.92933528,95442425.19308774,97845666.93115519,100261834.92685191,102300980.41303746,105133273.73512505,107907348.31281881,110280177.30606876,112941601.36577068,115677759.88053082,118447731.36809473,121225471.81371589,124003440.33310904,126779172.00401603,129596494.15077864,132462005.58593212,135364035.4586994,138300030.46222907,141184947.11102992,144033389.2839722,146857481.21231633,149572980.62770373,152205638.2093407,154729186.42728984,157208178.8192029,159769900.55958003,162424929.68935633,164969180.7114848,167514845.75073218,170093372.7960394,172563412.10522342
