FIPS,PCT_DIABETES_ADULTS08,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS08,PCT_OBESE_ADULTS13
13091,12.9,13.5,32.0,28.5
13093,13.4,14.8,33.3,34.7
13095,14.2,12.4,32.6,34.4
13097,10.3,12.0,29.4,32.3
13099,13.9,15.6,30.6,31.5
13101,9.0,10.9,28.7,28.3
13103,9.7,13.5,31.4,35.2
13105,12.7,13.0,31.7,31.1
13107,12.5,11.6,31.8,36.3
13109,12.0,13.4,30.2,33.5
13111,10.8,12.2,26.3,25.9
13113,12.6,12.9,25.4,31.1
13115,10.5,13.6,30.6,31.0
13117,8.2,10.8,24.4,29.4
13119,10.6,12.4,27.1,29.5
13121,8.7,8.7,23.5,23.9
13123,10.2,12.4,26.9,29.7
13125,11.5,11.8,27.1,28.6
13127,11.1,11.5,28.4,26.2
13129,9.0,10.2,28.8,29.3
13131,12.3,12.1,31.4,33.0
13133,13.9,15.4,30.9,29.7
13135,8.6,8.3,26.3,29.5
13137,10.0,11.4,27.5,31.7
13139,9.9,10.9,27.2,25.7
13141,14.2,15.8,35.2,31.2
13143,10.8,11.2,27.8,27.3
13145,11.4,13.2,29.7,28.4
13147,11.5,13.5,28.3,29.9
13149,10.7,12.0,28.0,30.2
13151,9.7,13.5,28.7,33.1
13153,11.9,13.2,29.6,31.0
13155,11.6,12.4,31.5,29.2
13157,10.6,11.2,26.9,27.4
13159,11.5,12.6,29.7,29.3
13161,12.0,12.8,29.2,30.0
13163,14.4,16.7,35.1,35.3
13165,13.6,12.1,32.3,29.9
13167,12.2,12.7,32.6,34.0
13169,11.8,12.4,29.1,33.5
13171,12.1,11.7,29.8,30.6
13173,10.6,11.4,29.9,33.2
13175,12.3,14.4,32.7,36.2
13177,9.7,10.7,28.2,31.2
13179,10.8,10.4,31.0,34.9
13181,13.1,14.1,30.5,29.0
13183,10.0,9.8,30.1,31.4
13185,11.1,11.6,32.1,31.3
13187,8.8,10.8,26.8,30.7
13189,12.3,17.4,29.7,33.4
13191,13.5,15.2,29.1,30.9
13193,14.2,13.5,32.6,36.4
13195,11.4,13.3,29.1,31.9
13197,12.0,14.0,30.2,32.9
13199,13.4,14.8,30.3,34.6
13201,13.1,13.3,30.2,30.3
13205,11.9,14.4,31.9,33.6
13207,11.3,14.5,29.5,31.9
13209,10.5,13.4,30.3,36.2
13211,12.2,11.6,28.3,26.5
13213,10.6,12.7,28.8,32.5
13215,12.8,13.4,31.4,28.8
13217,10.6,10.4,32.2,32.9
13219,9.7,9.3,28.2,28.8
13221,10.6,13.0,29.0,30.1
13223,10.2,11.0,27.3,28.6
13225,11.9,13.6,30.2,34.4
13227,9.4,14.2,25.1,26.7
13229,12.0,11.3,29.0,28.5
13231,10.2,11.7,28.4,26.2
13233,11.5,10.4,28.0,34.5
13235,12.7,13.6,30.6,31.7
13237,13.2,12.8,29.2,30.0
13239,13.7,16.9,32.0,34.0
13241,11.9,13.0,25.8,29.4
13243,14.8,16.7,33.7,33.7
13245,12.3,13.5,33.3,34.1
13247,11.2,13.1,30.3,36.0
13249,11.3,12.6,30.0,30.4
13251,13.6,13.6,31.1,33.0
13253,13.5,14.2,30.4,30.7
13255,11.8,12.9,31.7,32.4
13257,12.9,12.6,32.6,30.1
13259,16.8,13.7,33.3,34.2
13261,13.2,13.8,30.3,32.7
13263,14.9,16.3,33.3,33.3
13265,16.2,16.2,32.2,31.4
13267,11.6,10.2,30.7,33.1
