FIPS,STATE,NO_OF_DEPENDENTS,NO_OF_LOW_INCOME,NO_OF_MIDDLE_INCOME,NO_OF_HIGH_INCOME,AVG_DEPENDENTS,AVG_LOW_INCOME,AVG_MIDDLE_INCOME,AVG_HIGH_INCOME,AGI
1033,AL,250.0,3730.0,15320.0,4400.0,-20594.0,20871.0,162434.0,211866.0,1102770.0
1035,AL,90.0,870.0,3500.0,560.0,-3068.0,5159.0,35125.0,27545.0,188422.0
1037,AL,40.0,610.0,2910.0,490.0,-2685.0,3478.0,31353.0,22932.0,156998.0
1039,AL,260.0,2500.0,9870.0,2470.0,-13188.0,13960.0,101871.0,118559.0,657625.0
1041,AL,100.0,910.0,3990.0,810.0,-5685.0,5225.0,43793.0,36301.0,227922.0
1043,AL,450.0,5240.0,21810.0,5550.0,-29513.0,28187.0,241158.0,263136.0,1505382.0
1045,AL,270.0,3010.0,13690.0,3330.0,-8794.0,16905.0,145751.0,160162.0,850463.0
1047,AL,200.0,2460.0,12380.0,1790.0,-6103.0,15882.0,119989.0,86208.0,618238.0
1049,AL,450.0,4430.0,18670.0,3070.0,-23786.0,24337.0,194417.0,142574.0,988736.0
1051,AL,380.0,4610.0,21700.0,7940.0,-11263.0,25604.0,244157.0,391827.0,1768040.0
1053,AL,150.0,2190.0,9900.0,2140.0,-8656.0,12571.0,102859.0,103036.0,614835.0
1055,AL,480.0,6900.0,28240.0,6390.0,-15572.0,38549.0,291884.0,299211.0,1792081.0
1057,AL,100.0,1010.0,4210.0,1000.0,-5373.0,5703.0,45401.0,47682.0,253840.0
1059,AL,160.0,1980.0,8750.0,1460.0,-12394.0,11072.0,91386.0,67313.0,466486.0
1061,AL,220.0,1690.0,6900.0,1470.0,-18218.0,9444.0,70455.0,68622.0,389140.0
1063,AL,70.0,540.0,2520.0,350.0,-1910.0,3443.0,24466.0,16769.0,118258.0
1065,AL,80.0,900.0,4610.0,820.0,-3642.0,5394.0,47075.0,38727.0,239824.0
1067,AL,120.0,1050.0,4680.0,1200.0,-7490.0,5979.0,49451.0,58768.0,304845.0
1069,AL,670.0,7350.0,28740.0,8240.0,-61962.0,41659.0,292995.0,417222.0,2193544.0
1071,AL,260.0,3420.0,14380.0,3270.0,-14587.0,18901.0,155819.0,154755.0,908666.0
1073,AL,3380.0,42950.0,187850.0,62350.0,-329087.0,242776.0,1989425.0,3571600.0,17688220.0
1075,AL,70.0,860.0,3630.0,800.0,-2597.0,4785.0,39941.0,38893.0,212835.0
1077,AL,430.0,6510.0,23730.0,7500.0,-17629.0,35184.0,252234.0,368005.0,1882855.0
1079,AL,170.0,2060.0,8940.0,2380.0,-8068.0,11693.0,96909.0,115665.0,577142.0
1081,AL,670.0,9580.0,38070.0,12470.0,-44459.0,53319.0,405576.0,631359.0,3102310.0
1083,AL,350.0,5000.0,22140.0,9640.0,-14685.0,27434.0,246863.0,498935.0,2087676.0
1085,AL,70.0,700.0,3720.0,500.0,-1789.0,4457.0,36942.0,24446.0,174417.0
1087,AL,90.0,1430.0,5960.0,710.0,-1894.0,8799.0,59515.0,33693.0,268637.0
1089,AL,1790.0,23520.0,88280.0,47680.0,-89549.0,124939.0,966251.0,2639653.0,10331901.0
1091,AL,180.0,1290.0,5590.0,1480.0,-7017.0,7584.0,55967.0,73102.0,371620.0
1093,AL,170.0,1790.0,7390.0,1470.0,-5867.0,9943.0,77062.0,68786.0,421507.0
1095,AL,530.0,6500.0,26410.0,5960.0,-40977.0,35561.0,272928.0,283166.0,1659079.0
1097,AL,2040.0,27290.0,118230.0,30120.0,-135757.0,160641.0,1192545.0,1489945.0,8386781.0
1099,AL,160.0,1260.0,5650.0,1350.0,-3791.0,7195.0,56705.0,67422.0,353558.0
1101,AL,1150.0,14830.0,67960.0,17460.0,-179911.0,88220.0,694812.0,908905.0,4878545.0
1103,AL,510.0,7850.0,33310.0,10570.0,-21807.0,43804.0,354247.0,528187.0,2578074.0
1105,AL,60.0,590.0,2940.0,310.0,-2706.0,3738.0,27980.0,17041.0,118886.0
1107,AL,110.0,1100.0,5310.0,1010.0,-5901.0,6820.0,53778.0,48153.0,293234.0
1109,AL,170.0,2160.0,8420.0,1910.0,-9921.0,12565.0,85389.0,93542.0,535969.0
1111,AL,140.0,1340.0,6210.0,1160.0,-4395.0,7607.0,66338.0,54577.0,351758.0
1113,AL,250.0,3670.0,18720.0,2460.0,-16447.0,22852.0,194161.0,117783.0,879875.0
1115,AL,450.0,4840.0,22090.0,7630.0,-33041.0,26756.0,257833.0,369890.0,1709356.0
1117,AL,1200.0,12590.0,48040.0,30100.0,-155161.0,62676.0,583836.0,1672133.0,6636710.0
1119,AL,100.0,920.0,3710.0,520.0,-2299.0,5831.0,36361.0,24752.0,181758.0
1121,AL,320.0,5120.0,22660.0,4800.0,-14012.0,29052.0,240823.0,227634.0,1358384.0
1123,AL,220.0,2750.0,11950.0,2650.0,-14601.0,15752.0,124763.0,127273.0,772866.0
1125,AL,910.0,12460.0,51110.0,16360.0,-52295.0,70780.0,538257.0,823900.0,4199959.0
1127,AL,240.0,3880.0,16800.0,4540.0,-6541.0,21793.0,178987.0,223592.0,1259382.0
1129,AL,60.0,890.0,4280.0,1370.0,-2053.0,5254.0,45937.0,65394.0,319226.0
1131,AL,330.0,680.0,3250.0,550.0,-1045.0,4247.0,30855.0,25889.0,162201.0
1133,AL,160.0,1560.0,6190.0,1260.0,-9494.0,8551.0,65078.0,59847.0,372342.0
2000,AK,3460.0,55470.0,197980.0,102150.0,-195474.0,260268.0,2403131.0,5521284.0,22924626.0
2013,AK,0.0,160.0,740.0,160.0,,265.0,9206.0,9934.0,44955.0
2016,AK,0.0,220.0,1620.0,540.0,,901.0,18764.0,29457.0,129321.0
2020,AK,1260.0,21280.0,84840.0,46170.0,-91264.0,101490.0,1046126.0,2606378.0,10909301.0
2050,AK,50.0,2230.0,3780.0,940.0,-2740.0,9652.0,39203.0,48923.0,248636.0
2060,AK,0.0,100.0,290.0,150.0,,359.0,3758.0,9954.0,30009.0
2068,AK,0.0,140.0,650.0,350.0,,281.0,8329.0,18585.0,69720.0
2070,AK,0.0,700.0,1230.0,380.0,,2667.0,13302.0,18598.0,95523.0
2090,AK,430.0,6140.0,27470.0,13540.0,-14132.0,29462.0,331178.0,724012.0,2943215.0
2100,AK,30.0,240.0,820.0,280.0,-986.0,1193.0,9181.0,13260.0,67474.0
2105,AK,30.0,250.0,650.0,170.0,-1469.0,1277.0,7202.0,17607.0,53647.0
2110,AK,160.0,2530.0,9140.0,5830.0,-5979.0,11864.0,120857.0,313802.0,1174007.0
2122,AK,500.0,4710.0,15410.0,8580.0,-27156.0,23282.0,185433.0,461011.0,1810896.0
2130,AK,100.0,1140.0,4190.0,1870.0,-6237.0,5826.0,50404.0,97239.0,435068.0
2150,AK,90.0,980.0,4400.0,1710.0,-2951.0,4852.0,53227.0,86364.0,392507.0
2164,AK,0.0,190.0,450.0,130.0,,933.0,5036.0,8264.0,32375.0
2170,AK,450.0,6740.0,22220.0,13880.0,-24301.0,30948.0,279143.0,740694.0,2750719.0
2180,AK,30.0,900.0,2320.0,650.0,-508.0,4420.0,25493.0,37020.0,172022.0
2185,AK,0.0,830.0,1810.0,780.0,,3133.0,23245.0,43595.0,175333.0
2188,AK,0.0,650.0,1520.0,550.0,,3303.0,17511.0,30969.0,127475.0
2195,AK,40.0,310.0,1120.0,520.0,-6092.0,1548.0,14137.0,26609.0,111779.0
2198,AK,40.0,490.0,1400.0,480.0,-1081.0,2343.0,16461.0,23621.0,119095.0
2220,AK,80.0,690.0,2730.0,1190.0,-2583.0,3537.0,34850.0,61878.0,279997.0
2230,AK,0.0,80.0,490.0,180.0,,334.0,5227.0,8780.0,42646.0
2240,AK,70.0,520.0,1870.0,860.0,-2655.0,2491.0,22393.0,46215.0,169014.0
2261,AK,90.0,840.0,2740.0,1470.0,-4989.0,4048.0,33409.0,79509.0,310532.0
2270,AK,0.0,1310.0,1630.0,160.0,,5483.0,15792.0,8235.0,68928.0
2275,AK,0.0,210.0,660.0,240.0,,618.0,7771.0,14988.0,53420.0
2282,AK,0.0,60.0,180.0,50.0,,7.0,2274.0,3462.0,13133.0
2290,AK,30.0,860.0,1590.0,350.0,-351.0,3751.0,16496.0,19667.0,93879.0
4000,AZ,47470.0,386000.0,1775890.0,603430.0,-5785137.0,2118195.0,19519758.0,31318712.0,152677403.0
4001,AZ,240.0,4560.0,16510.0,2630.0,-9744.0,24773.0,175113.0,126174.0,849100.0
4003,AZ,930.0,7890.0,32860.0,10480.0,-53618.0,42643.0,348140.0,524527.0,2370791.0
4005,AZ,940.0,9590.0,35610.0,11640.0,-60655.0,51931.0,383180.0,590197.0,2900340.0
4007,AZ,490.0,3500.0,13770.0,3660.0,-25776.0,18787.0,148402.0,173261.0,932309.0
4009,AZ,130.0,1690.0,7320.0,2360.0,-24897.0,9052.0,85137.0,110505.0,532452.0
4011,AZ,60.0,340.0,2120.0,950.0,-1904.0,1830.0,32457.0,44672.0,191647.0
4012,AZ,170.0,1080.0,4570.0,660.0,-11722.0,5916.0,47462.0,31942.0,216442.0
4013,AZ,29170.0,227600.0,1089740.0,408070.0,-4596618.0,1246520.0,12236145.0,22066729.0,102879095.0
4015,AZ,1990.0,12930.0,52900.0,10960.0,-107438.0,70531.0,547233.0,518530.0,3083708.0
4017,AZ,630.0,6990.0,24680.0,5450.0,-29754.0,37355.0,260073.0,263859.0,1466315.0
4019,AZ,6560.0,60630.0,274210.0,89720.0,-389365.0,335339.0,2934212.0,4514238.0,22497014.0
4021,AZ,2010.0,16850.0,87410.0,25390.0,-186233.0,91933.0,1022722.0,1223130.0,6128688.0
4023,AZ,430.0,3400.0,13290.0,2480.0,-20571.0,19828.0,131390.0,126033.0,761224.0
4025,AZ,2930.0,15590.0,61610.0,19100.0,-226496.0,80401.0,673887.0,933776.0,4733439.0
4027,AZ,820.0,13370.0,59310.0,9930.0,-40346.0,81356.0,582642.0,473001.0,3134839.0
5000,AR,16430.0,196680.0,785170.0,221880.0,-1165016.0,1081016.0,8379674.0,11222960.0,61516290.0
5001,AR,140.0,1250.0,5410.0,1310.0,-10132.0,6888.0,59677.0,65963.0,390508.0
5003,AR,90.0,1360.0,5600.0,1420.0,-3216.0,7973.0,58745.0,66719.0,385893.0
5005,AR,370.0,3050.0,11610.0,2650.0,-14791.0,16379.0,122826.0,123214.0,766193.0
5007,AR,1250.0,14010.0,60760.0,27100.0,-135681.0,74794.0,690264.0,1853567.0,8651066.0
5009,AR,280.0,2600.0,10150.0,2300.0,-12415.0,13958.0,110577.0,106230.0,653906.0
5011,AR,50.0,700.0,3050.0,530.0,-2707.0,4054.0,31302.0,25331.0,170137.0
5013,AR,20.0,250.0,1310.0,300.0,-542.0,1430.0,14913.0,14356.0,83628.0
5015,AR,370.0,2160.0,8170.0,1340.0,-19901.0,11512.0,83859.0,63921.0,422727.0
5017,AR,90.0,700.0,2890.0,540.0,-8197.0,4139.0,28891.0,27798.0,158328.0
5019,AR,100.0,1460.0,5490.0,1290.0,-8156.0,8101.0,57485.0,61349.0,338182.0
5021,AR,120.0,1040.0,4100.0,730.0,-19645.0,5554.0,45271.0,33864.0,221807.0
5023,AR,220.0,1810.0,6830.0,1920.0,-19822.0,9605.0,74860.0,91261.0,503057.0
5025,AR,60.0,430.0,2120.0,600.0,-2646.0,2279.0,23724.0,29275.0,147982.0
5027,AR,110.0,1540.0,5810.0,1690.0,-4138.0,8427.0,60633.0,85407.0,443384.0
5029,AR,100.0,1400.0,5450.0,1510.0,-2521.0,7740.0,59286.0,72257.0,396432.0
5031,AR,470.0,6870.0,26190.0,7480.0,-62490.0,38431.0,277077.0,371836.0,2011211.0
5033,AR,290.0,3890.0,15710.0,3860.0,-20461.0,20855.0,170649.0,182503.0,1013034.0
5035,AR,210.0,3720.0,14430.0,2970.0,-7801.0,22672.0,144809.0,142164.0,856781.0
5037,AR,100.0,1220.0,4830.0,1100.0,-5879.0,7019.0,50340.0,51061.0,299688.0
5039,AR,40.0,480.0,2100.0,340.0,-1222.0,2590.0,22203.0,15295.0,109033.0
5041,AR,80.0,820.0,3450.0,700.0,-5986.0,4900.0,35077.0,33877.0,198577.0
5043,AR,90.0,1180.0,4640.0,1240.0,-3508.0,6731.0,48391.0,61399.0,337104.0
5045,AR,500.0,8030.0,28990.0,10900.0,-15009.0,43397.0,319830.0,534693.0,2502144.0
5047,AR,110.0,1210.0,4410.0,1100.0,-5097.0,6466.0,47674.0,51948.0,289736.0
5049,AR,140.0,800.0,2870.0,500.0,-3952.0,4356.0,29788.0,23134.0,150370.0
5051,AR,710.0,7530.0,27730.0,7400.0,-36376.0,40813.0,285126.0,362498.0,2007603.0
5053,AR,90.0,1010.0,4700.0,1530.0,-2804.0,5402.0,55350.0,76089.0,354482.0
5055,AR,230.0,2830.0,11340.0,2660.0,-11989.0,15557.0,128177.0,123394.0,745941.0
5057,AR,160.0,1460.0,6050.0,950.0,-5339.0,8324.0,61940.0,45087.0,298476.0
5059,AR,160.0,1950.0,8580.0,1830.0,-6998.0,10748.0,93067.0,86924.0,504960.0
5061,AR,110.0,940.0,3850.0,650.0,-5545.0,4912.0,39095.0,29722.0,200987.0
5063,AR,220.0,2200.0,9830.0,2310.0,-17792.0,11995.0,105302.0,111118.0,667822.0
5065,AR,110.0,880.0,3070.0,610.0,-2849.0,4748.0,32588.0,27384.0,174156.0
5067,AR,100.0,1100.0,3940.0,800.0,-4891.0,6044.0,40880.0,36897.0,233654.0
5069,AR,270.0,5030.0,21100.0,4220.0,-7894.0,29368.0,220045.0,205532.0,1228203.0
5071,AR,160.0,1680.0,6690.0,1160.0,-5208.0,9075.0,69596.0,54702.0,363933.0
5073,AR,60.0,440.0,1800.0,330.0,-2697.0,2508.0,18157.0,15626.0,98860.0
5075,AR,110.0,1080.0,4250.0,740.0,-4656.0,6035.0,45315.0,35096.0,234616.0
5077,AR,50.0,600.0,2120.0,350.0,-1766.0,3493.0,20940.0,19540.0,127354.0
5079,AR,70.0,630.0,2800.0,630.0,-3286.0,3524.0,30614.0,29670.0,169540.0
5081,AR,60.0,770.0,3370.0,780.0,-1653.0,4275.0,36286.0,37506.0,203069.0
5083,AR,150.0,1470.0,5760.0,1110.0,-4824.0,7959.0,61942.0,51040.0,334426.0
5085,AR,270.0,4220.0,18360.0,6650.0,-10782.0,22569.0,215466.0,324213.0,1499080.0
5087,AR,180.0,1080.0,4140.0,790.0,-5506.0,5519.0,45388.0,36329.0,234931.0
5089,AR,140.0,1110.0,4400.0,690.0,-3214.0,5805.0,44928.0,32412.0,223035.0
5091,AR,210.0,2970.0,11620.0,2800.0,-10512.0,16865.0,120855.0,133966.0,771576.0
5093,AR,160.0,3270.0,11860.0,2500.0,-8468.0,19154.0,121876.0,120585.0,716078.0
5095,AR,50.0,550.0,2180.0,380.0,-3641.0,3127.0,22847.0,17792.0,115507.0
5097,AR,80.0,590.0,2120.0,370.0,-2447.0,3198.0,22177.0,17024.0,115287.0
5099,AR,50.0,550.0,2440.0,390.0,-2308.0,3083.0,25660.0,17725.0,124668.0
5101,AR,70.0,600.0,2000.0,270.0,-1216.0,3239.0,21179.0,12336.0,99571.0
5103,AR,70.0,1600.0,6730.0,1440.0,-2866.0,8936.0,70999.0,68585.0,412509.0
5105,AR,70.0,660.0,2660.0,680.0,-2924.0,3713.0,29160.0,31970.0,171362.0
5107,AR,110.0,1360.0,5440.0,760.0,-4461.0,8069.0,53499.0,36397.0,271892.0
5109,AR,110.0,730.0,2790.0,500.0,-4174.0,3834.0,29541.0,23469.0,151300.0
5111,AR,100.0,1550.0,6240.0,1060.0,-5886.0,8771.0,66180.0,48400.0,346000.0
5113,AR,170.0,1450.0,5210.0,880.0,-8584.0,7631.0,54371.0,40306.0,280241.0
5115,AR,300.0,4300.0,16070.0,4470.0,-16234.0,23264.0,170423.0,217245.0,1169172.0
5117,AR,60.0,510.0,2240.0,530.0,-3560.0,2918.0,25257.0,24651.0,146320.0
5119,AR,1990.0,27660.0,114410.0,38400.0,-227397.0,152726.0,1233972.0,2169841.0,10767451.0
5121,AR,150.0,1220.0,4460.0,830.0,-6809.0,6726.0,46154.0,38808.0,254758.0
5123,AR,110.0,1690.0,6620.0,890.0,-7062.0,10266.0,64559.0,42167.0,309110.0
5125,AR,440.0,6640.0,29820.0,12490.0,-16143.0,35132.0,354256.0,614672.0,2666808.0
5127,AR,100.0,750.0,2810.0,390.0,-4604.0,3950.0,28770.0,18297.0,131830.0
5129,AR,110.0,600.0,2010.0,250.0,-5602.0,3133.0,19566.0,15250.0,88536.0
5131,AR,610.0,8830.0,34250.0,9090.0,-49440.0,48015.0,355022.0,455793.0,2595176.0
5133,AR,110.0,960.0,4440.0,710.0,-4348.0,5453.0,46413.0,33179.0,223092.0
5135,AR,130.0,1200.0,4280.0,690.0,-4955.0,6658.0,44457.0,32001.0,218831.0
5137,AR,160.0,990.0,3020.0,500.0,-6969.0,5462.0,31228.0,23525.0,160174.0
5139,AR,140.0,2860.0,11140.0,3440.0,-6440.0,16039.0,117968.0,178347.0,972463.0
5141,AR,120.0,1110.0,4320.0,1060.0,-4423.0,6067.0,45733.0,50697.0,279111.0
5143,AR,1340.0,14700.0,56640.0,17620.0,-173285.0,79527.0,604431.0,937373.0,4711392.0
5145,AR,370.0,4980.0,19440.0,5650.0,-18194.0,26981.0,212265.0,269965.0,1423901.0
5147,AR,50.0,540.0,1900.0,320.0,-3565.0,3035.0,19799.0,15048.0,105182.0
5149,AR,120.0,1300.0,5860.0,950.0,-6515.0,7121.0,61937.0,45002.0,310956.0
6000,CA,307270.0,2395000.0,10107610.0,4360170.0,-37308088.0,13101647.0,110843208.0,266985608.0,1178160296.0
6001,CA,12370.0,91860.0,399030.0,241870.0,-967004.0,484422.0,4731419.0,14873886.0,58444569.0
6003,CA,0.0,90.0,270.0,90.0,,-16.0,3042.0,6298.0,21518.0
6005,CA,460.0,2160.0,9370.0,4150.0,-26479.0,11411.0,109695.0,211329.0,887235.0
6007,CA,1830.0,14730.0,54690.0,18140.0,-120945.0,81985.0,592015.0,899126.0,4335507.0
6009,CA,610.0,2790.0,11190.0,5040.0,-35914.0,14863.0,130814.0,252163.0,1073447.0
6011,CA,140.0,1160.0,6580.0,1520.0,-14326.0,6597.0,77398.0,78762.0,468126.0
6013,CA,9180.0,63230.0,257670.0,187860.0,-1139725.0,327787.0,3095293.0,12868558.0,47514289.0
6015,CA,190.0,1530.0,5980.0,1690.0,-8655.0,8255.0,64005.0,80287.0,409089.0
6017,CA,2150.0,11640.0,42450.0,28700.0,-163292.0,59561.0,483809.0,1698549.0,6469919.0
6019,CA,4980.0,58710.0,253850.0,64840.0,-413819.0,343683.0,2616958.0,3375103.0,18121663.0
6021,CA,260.0,1710.0,7890.0,1730.0,-25004.0,9660.0,87325.0,81339.0,497770.0
6023,CA,1180.0,9240.0,35240.0,9720.0,-53212.0,50341.0,381349.0,470422.0,2504611.0
6025,CA,690.0,14490.0,52630.0,9750.0,-30258.0,88666.0,514115.0,469183.0,2900366.0
6027,CA,170.0,1240.0,5040.0,2020.0,-9705.0,6272.0,56956.0,105529.0,435580.0
6029,CA,3650.0,45970.0,216660.0,64680.0,-409071.0,272794.0,2239990.0,3340626.0,16495938.0
6031,CA,540.0,7060.0,36840.0,8310.0,-111292.0,41619.0,401515.0,404569.0,2282757.0
6033,CA,800.0,4000.0,16050.0,3990.0,-41143.0,22066.0,168388.0,199825.0,1012042.0
6035,CA,190.0,1300.0,5830.0,2410.0,-9573.0,6814.0,70183.0,121324.0,486219.0
6037,CA,83910.0,694360.0,2775100.0,957160.0,-11580538.0,3854532.0,29466669.0,60109010.0,284888101.0
6039,CA,940.0,8260.0,39310.0,8940.0,-123962.0,48149.0,407366.0,440676.0,2420127.0
6041,CA,4380.0,15890.0,55420.0,55760.0,-763962.0,77167.0,671430.0,6400297.0,18479201.0
6043,CA,210.0,1110.0,4870.0,1520.0,-9817.0,6031.0,54576.0,73730.0,353565.0
6045,CA,980.0,6120.0,24590.0,6530.0,-86996.0,33046.0,266783.0,319215.0,1689817.0
6047,CA,1420.0,15110.0,67340.0,13460.0,-191257.0,86939.0,718218.0,650584.0,3926672.0
6049,CA,150.0,570.0,2240.0,570.0,-10395.0,3036.0,24275.0,26607.0,139520.0
6051,CA,160.0,760.0,4190.0,1270.0,-17632.0,4247.0,46191.0,65479.0,323965.0
6053,CA,3140.0,23210.0,128570.0,37470.0,-464326.0,130690.0,1388128.0,2039281.0,10430319.0
6055,CA,1420.0,7700.0,38850.0,19590.0,-299106.0,40883.0,466050.0,1228341.0,5051378.0
6057,CA,1700.0,7130.0,26730.0,12790.0,-113434.0,36439.0,304262.0,674425.0,2839354.0
6059,CA,29210.0,202430.0,800900.0,420180.0,-4973083.0,1072951.0,8864957.0,27146768.0,108354813.0
6061,CA,3570.0,21220.0,84470.0,61360.0,-379081.0,108551.0,1021830.0,3506407.0,12818802.0
6063,CA,230.0,1280.0,5180.0,1900.0,-12620.0,6685.0,61641.0,93279.0,427402.0
6065,CA,16250.0,130720.0,584860.0,196930.0,-1426721.0,731858.0,6218978.0,10093371.0,46393460.0
6067,CA,9190.0,88500.0,393560.0,152160.0,-753361.0,486896.0,4487283.0,7902281.0,35232809.0
6069,CA,430.0,3320.0,15350.0,6700.0,-52590.0,18304.0,172191.0,359445.0,1461546.0
6071,CA,11270.0,130620.0,552090.0,158550.0,-715468.0,744721.0,5822878.0,8028543.0,39864074.0
6073,CA,28110.0,197240.0,879420.0,400810.0,-3321937.0,1062220.0,9899486.0,23325570.0,100633504.0
6075,CA,8960.0,49850.0,238340.0,162420.0,-1447023.0,258581.0,2957910.0,14112027.0,51884649.0
6077,CA,4040.0,42340.0,182610.0,60350.0,-417250.0,238271.0,1986035.0,3100247.0,14478511.0
6079,CA,3460.0,17270.0,71790.0,34930.0,-429046.0,91430.0,827238.0,1942181.0,8146819.0
6081,CA,6630.0,41300.0,181780.0,145150.0,-1109627.0,208616.0,2228474.0,14745156.0,49312361.0
6083,CA,4150.0,25510.0,119720.0,47550.0,-661754.0,138558.0,1336130.0,2907424.0,13000857.0
6085,CA,14290.0,101340.0,420480.0,344480.0,-1262644.0,521979.0,4979866.0,31624971.0,105487549.0
6087,CA,3050.0,17010.0,72890.0,35070.0,-275417.0,91579.0,803444.0,2142219.0,8843367.0
6089,CA,1610.0,11890.0,46730.0,15170.0,-86537.0,64048.0,511139.0,745893.0,3681144.0
6091,CA,40.0,180.0,760.0,240.0,-1028.0,931.0,9357.0,11576.0,59242.0
6093,CA,660.0,3130.0,11740.0,2990.0,-40665.0,16551.0,128169.0,143141.0,769659.0
6095,CA,2550.0,24580.0,115430.0,53940.0,-139530.0,134073.0,1358266.0,2877892.0,11567579.0
6097,CA,5410.0,30760.0,138630.0,65930.0,-635326.0,163235.0,1632228.0,3642454.0,15533515.0
6099,CA,3210.0,32270.0,136730.0,40070.0,-307071.0,183027.0,1485107.0,1990469.0,10194314.0
6101,CA,730.0,5550.0,24660.0,7500.0,-71755.0,31155.0,271205.0,375194.0,1829515.0
6103,CA,610.0,3960.0,16000.0,3910.0,-58882.0,21040.0,174829.0,191345.0,1027199.0
6105,CA,150.0,860.0,3050.0,720.0,-6766.0,4619.0,32937.0,34474.0,201249.0
6107,CA,2410.0,26200.0,119840.0,24080.0,-537871.0,156325.0,1230312.0,1201203.0,6894580.0
6109,CA,610.0,3440.0,13980.0,5350.0,-25411.0,18341.0,158610.0,264672.0,1192504.0
6111,CA,7020.0,53570.0,225950.0,112530.0,-822605.0,285971.0,2519305.0,6625745.0,27404134.0
6113,CA,1250.0,11470.0,48110.0,23220.0,-78796.0,60644.0,555347.0,1272490.0,5413386.0
6115,CA,380.0,4060.0,18180.0,4490.0,-17381.0,22548.0,200220.0,219654.0,1149089.0
8000,CO,41190.0,338690.0,1455380.0,667380.0,-3626147.0,1766446.0,17086651.0,36829942.0,164508268.0
8001,CO,1980.0,28360.0,142150.0,43450.0,-83324.0,154324.0,1661766.0,2154040.0,10776163.0
8003,CO,110.0,1180.0,4130.0,980.0,-2818.0,6378.0,44511.0,45683.0,272081.0
8005,CO,4160.0,38870.0,174650.0,79480.0,-394039.0,201583.0,2083431.0,4618651.0,20913299.0
8007,CO,220.0,980.0,3390.0,1180.0,-13208.0,4939.0,36484.0,62051.0,305435.0
8009,CO,90.0,320.0,990.0,200.0,-5516.0,1698.0,10736.0,9483.0,58823.0
8011,CO,30.0,240.0,1100.0,180.0,-978.0,1206.0,11940.0,12377.0,60619.0
8013,CO,3630.0,21750.0,76260.0,50180.0,-484659.0,108224.0,885705.0,3443937.0,12927641.0
8014,CO,390.0,3480.0,14390.0,11390.0,-26109.0,17147.0,181554.0,653158.0,2391277.0
8015,CO,270.0,1290.0,5130.0,1890.0,-25512.0,6859.0,59355.0,91002.0,428311.0
8017,CO,40.0,120.0,500.0,200.0,-2797.0,627.0,5921.0,10228.0,50385.0
8019,CO,100.0,580.0,2530.0,1470.0,-9443.0,3126.0,30368.0,79325.0,321615.0
8021,CO,80.0,520.0,2020.0,330.0,-2972.0,2701.0,22298.0,15392.0,104052.0
8023,CO,60.0,290.0,850.0,140.0,-1483.0,1500.0,8774.0,8545.0,44167.0
8025,CO,40.0,240.0,730.0,120.0,-1364.0,1119.0,8230.0,6803.0,38034.0
8027,CO,100.0,290.0,1060.0,460.0,-5560.0,1407.0,12465.0,31291.0,166871.0
8029,CO,410.0,2100.0,7920.0,2340.0,-26136.0,11226.0,89561.0,109588.0,548986.0
8031,CO,5010.0,41520.0,209230.0,74470.0,-377148.0,223167.0,2450070.0,4758463.0,22939203.0
8033,CO,30.0,120.0,480.0,160.0,-1503.0,686.0,5587.0,9158.0,34668.0
