FIPS,STATE,agi_stub,N1,A00100
1079,AL,3,3630.0,61542.0
1079,AL,4,3400.0,123271.0
1079,AL,5,1910.0,117196.0
1079,AL,6,1210.0,104370.0
1079,AL,7,1080.0,135306.0
1079,AL,8,90.0,31832.0
1081,AL,1,670.0,-44459.0
1081,AL,2,9580.0,53319.0
1081,AL,3,15960.0,270887.0
1081,AL,4,14480.0,520234.0
1081,AL,5,7630.0,469714.0
1081,AL,6,4910.0,426249.0
1081,AL,7,6060.0,804959.0
1081,AL,8,1500.0,601407.0
1083,AL,1,350.0,-14685.0
1083,AL,2,5000.0,27434.0
1083,AL,3,8560.0,146745.0
1083,AL,4,8480.0,306583.0
1083,AL,5,5100.0,315603.0
1083,AL,6,3740.0,324253.0
1083,AL,7,4980.0,663503.0
1083,AL,8,920.0,318240.0
1085,AL,1,70.0,-1789.0
1085,AL,2,700.0,4457.0
1085,AL,3,1880.0,31685.0
1085,AL,4,1350.0,46955.0
1085,AL,5,490.0,29527.0
1085,AL,6,230.0,20133.0
1085,AL,7,240.0,29948.0
1085,AL,8,30.0,13501.0
1087,AL,1,90.0,-1894.0
1087,AL,2,1430.0,8799.0
1087,AL,3,3040.0,51176.0
1087,AL,4,2160.0,75898.0
1087,AL,5,760.0,46305.0
1087,AL,6,370.0,31832.0
1087,AL,7,290.0,38826.0
1087,AL,8,50.0,17695.0
1089,AL,1,1790.0,-89549.0
1089,AL,2,23520.0,124939.0
1089,AL,3,35300.0,600704.0
1089,AL,4,32390.0,1170220.0
1089,AL,5,20590.0,1272091.0
1089,AL,6,15610.0,1358211.0
1089,AL,7,25570.0,3478639.0
1089,AL,8,6500.0,2416646.0
1091,AL,1,180.0,-7017.0
1091,AL,2,1290.0,7584.0
1091,AL,3,2680.0,44934.0
1091,AL,4,1940.0,69148.0
1091,AL,5,970.0,60086.0
1091,AL,6,670.0,58324.0
1091,AL,7,700.0,91310.0
1091,AL,8,110.0,47251.0
1093,AL,1,170.0,-5867.0
1093,AL,2,1790.0,9943.0
1093,AL,3,3260.0,55505.0
1093,AL,4,2750.0,98891.0
1093,AL,5,1380.0,84486.0
1093,AL,6,790.0,68024.0
1093,AL,7,590.0,74859.0
1093,AL,8,90.0,35666.0
1095,AL,1,530.0,-40977.0
1095,AL,2,6500.0,35561.0
1095,AL,3,12100.0,210101.0
1095,AL,4,9760.0,347572.0
1095,AL,5,4550.0,279891.0
1095,AL,6,2730.0,235405.0
1095,AL,7,2620.0,340390.0
1095,AL,8,610.0,251136.0
1097,AL,1,2040.0,-135757.0
1097,AL,2,27290.0,160641.0
1097,AL,3,55400.0,921984.0
1097,AL,4,41330.0,1490156.0
1097,AL,5,21500.0,1317606.0
1097,AL,6,12840.0,1109586.0
1097,AL,7,13600.0,1780951.0
1097,AL,8,3680.0,1741614.0
1099,AL,1,160.0,-3791.0
1099,AL,2,1260.0,7195.0
1099,AL,3,2680.0,45012.0
1099,AL,4,1960.0,69947.0
1099,AL,5,1010.0,62032.0
1099,AL,6,600.0,52084.0
1099,AL,7,660.0,85740.0
1099,AL,8,90.0,35339.0
1101,AL,1,1150.0,-179911.0
1101,AL,2,14830.0,88220.0
1101,AL,3,31240.0,524774.0
1101,AL,4,25180.0,900307.0
1101,AL,5,11540.0,706736.0
1101,AL,6,6610.0,571563.0
1101,AL,7,8210.0,1096400.0
1101,AL,8,2640.0,1170456.0
1103,AL,1,510.0,-21807.0
1103,AL,2,7850.0,43804.0
1103,AL,3,14060.0,241113.0
1103,AL,4,12380.0,444556.0
1103,AL,5,6870.0,423045.0
1103,AL,6,4440.0,384501.0
1103,AL,7,5160.0,678945.0
1103,AL,8,970.0,383917.0
1105,AL,1,60.0,-2706.0
1105,AL,2,590.0,3738.0
1105,AL,3,1650.0,27455.0
1105,AL,4,870.0,30095.0
1105,AL,5,420.0,25662.0
1105,AL,6,180.0,15585.0
1105,AL,7,130.0,19057.0
1105,AL,8,0.0,0.0
1107,AL,1,110.0,-5901.0
1107,AL,2,1100.0,6820.0
1107,AL,3,2490.0,42486.0
1107,AL,4,1860.0,66311.0
1107,AL,5,960.0,58784.0
1107,AL,6,520.0,44870.0
1107,AL,7,430.0,55433.0
1107,AL,8,60.0,24431.0
1109,AL,1,170.0,-9921.0
1109,AL,2,2160.0,12565.0
1109,AL,3,3980.0,67737.0
1109,AL,4,3030.0,107995.0
1109,AL,5,1410.0,86634.0
1109,AL,6,860.0,74502.0
1109,AL,7,870.0,114829.0
1109,AL,8,180.0,81628.0
1111,AL,1,140.0,-4395.0
1111,AL,2,1340.0,7607.0
1111,AL,3,2640.0,45730.0
1111,AL,4,2510.0,88722.0
1111,AL,5,1060.0,64660.0
1111,AL,6,570.0,49646.0
1111,AL,7,500.0,63488.0
1111,AL,8,90.0,36300.0
1113,AL,1,250.0,-16447.0
1113,AL,2,3670.0,22852.0
1113,AL,3,8650.0,147027.0
1113,AL,4,7360.0,260196.0
1113,AL,5,2710.0,165268.0
1113,AL,6,1330.0,114368.0
1113,AL,7,1010.0,129486.0
1113,AL,8,120.0,57125.0
1115,AL,1,450.0,-33041.0
1115,AL,2,4840.0,26756.0
1115,AL,3,7820.0,133750.0
1115,AL,4,8770.0,317943.0
1115,AL,5,5500.0,338408.0
1115,AL,6,3630.0,314440.0
1115,AL,7,3540.0,454459.0
1115,AL,8,460.0,156641.0
1117,AL,1,1200.0,-155161.0
1117,AL,2,12590.0,62676.0
1117,AL,3,16050.0,273735.0
1117,AL,4,19040.0,698138.0
1117,AL,5,12950.0,800116.0
1117,AL,6,9760.0,848248.0
1117,AL,7,15350.0,2079981.0
1117,AL,8,4990.0,2028977.0
1119,AL,1,100.0,-2299.0
1119,AL,2,920.0,5831.0
1119,AL,3,1910.0,31901.0
1119,AL,4,1290.0,45114.0
1119,AL,5,510.0,30922.0
1119,AL,6,260.0,22674.0
1119,AL,7,220.0,28174.0
1119,AL,8,40.0,19441.0
1121,AL,1,320.0,-14012.0
1121,AL,2,5120.0,29052.0
1121,AL,3,9560.0,162832.0
1121,AL,4,8810.0,314210.0
1121,AL,5,4290.0,263913.0
1121,AL,6,2400.0,207450.0
1121,AL,7,2080.0,266127.0
1121,AL,8,320.0,128812.0
1123,AL,1,220.0,-14601.0
1123,AL,2,2750.0,15752.0
1123,AL,3,5330.0,92336.0
1123,AL,4,4630.0,163381.0
1123,AL,5,1990.0,121765.0
1123,AL,6,1180.0,101821.0
1123,AL,7,1150.0,148859.0
1123,AL,8,320.0,143553.0
1125,AL,1,910.0,-52295.0
1125,AL,2,12460.0,70780.0
1125,AL,3,21890.0,370333.0
1125,AL,4,19310.0,691928.0
1125,AL,5,9910.0,609748.0
1125,AL,6,6630.0,573826.0
1125,AL,7,7720.0,1012942.0
1125,AL,8,2010.0,922697.0
1127,AL,1,240.0,-6541.0
1127,AL,2,3880.0,21793.0
1127,AL,3,7040.0,119869.0
1127,AL,4,6230.0,224156.0
1127,AL,5,3530.0,217170.0
1127,AL,6,2170.0,188311.0
1127,AL,7,2030.0,259350.0
1127,AL,8,340.0,235274.0
1129,AL,1,60.0,-2053.0
1129,AL,2,890.0,5254.0
1129,AL,3,1780.0,29718.0
1129,AL,4,1520.0,55138.0
1129,AL,5,980.0,61123.0
1129,AL,6,680.0,58328.0
1129,AL,7,610.0,77338.0
1129,AL,8,80.0,34380.0
1131,AL,1,330.0,-1045.0
1131,AL,2,680.0,4247.0
1131,AL,3,1820.0,29854.0
1131,AL,4,970.0,33971.0
1131,AL,5,460.0,28245.0
1131,AL,6,280.0,23995.0
1131,AL,7,230.0,30542.0
1131,AL,8,40.0,12392.0
1133,AL,1,160.0,-9494.0
1133,AL,2,1560.0,8551.0
1133,AL,3,2710.0,47158.0
1133,AL,4,2300.0,82553.0
1133,AL,5,1180.0,72170.0
1133,AL,6,580.0,50603.0
1133,AL,7,560.0,71730.0
1133,AL,8,120.0,49071.0
2000,AK,1,3460.0,-195474.0
2000,AK,2,55470.0,260268.0
2000,AK,3,65920.0,1143682.0
2000,AK,4,80670.0,2942283.0
2000,AK,5,51390.0,3172335.0
2000,AK,6,35660.0,3091979.0
2000,AK,7,53190.0,7203863.0
2000,AK,8,13300.0,5305690.0
2013,AK,1,0.0,0.0
2013,AK,2,160.0,265.0
2013,AK,3,250.0,4368.0
2013,AK,4,370.0,13063.0
2013,AK,5,120.0,7392.0
2013,AK,6,80.0,7236.0
2013,AK,7,80.0,12631.0
2013,AK,8,0.0,0.0
2016,AK,1,0.0,0.0
2016,AK,2,220.0,901.0
2016,AK,3,580.0,10821.0
2016,AK,4,690.0,24176.0
2016,AK,5,350.0,21256.0
2016,AK,6,190.0,16609.0
2016,AK,7,300.0,39892.0
2016,AK,8,50.0,15666.0
2020,AK,1,1260.0,-91264.0
2020,AK,2,21280.0,101490.0
2020,AK,3,27390.0,479588.0
2020,AK,4,35730.0,1302702.0
2020,AK,5,21720.0,1338484.0
2020,AK,6,14780.0,1281326.0
2020,AK,7,23520.0,3211966.0
2020,AK,8,7870.0,3285009.0
2050,AK,1,50.0,-2740.0
2050,AK,2,2230.0,9652.0
2050,AK,3,1660.0,27998.0
2050,AK,4,1350.0,48694.0
2050,AK,5,770.0,46720.0
2050,AK,6,380.0,32619.0
2050,AK,7,490.0,65699.0
2050,AK,8,70.0,19994.0
2060,AK,1,0.0,0.0
2060,AK,2,100.0,359.0
2060,AK,3,90.0,1561.0
2060,AK,4,110.0,4079.0
2060,AK,5,90.0,5562.0
2060,AK,6,60.0,5576.0
2060,AK,7,90.0,12872.0
2060,AK,8,0.0,0.0
2068,AK,1,0.0,0.0
2068,AK,2,140.0,281.0
2068,AK,3,190.0,3289.0
2068,AK,4,290.0,10410.0
2068,AK,5,170.0,10411.0
2068,AK,6,140.0,11836.0
2068,AK,7,190.0,24575.0
2068,AK,8,20.0,8918.0
2070,AK,1,0.0,0.0
2070,AK,2,700.0,2667.0
2070,AK,3,500.0,8305.0
2070,AK,4,440.0,15917.0
2070,AK,5,290.0,17950.0
2070,AK,6,160.0,14158.0
2070,AK,7,180.0,23864.0
2070,AK,8,40.0,12662.0
2090,AK,1,430.0,-14132.0
2090,AK,2,6140.0,29462.0
2090,AK,3,9310.0,165106.0
2090,AK,4,11070.0,402435.0
2090,AK,5,7090.0,437994.0
2090,AK,6,5020.0,434641.0
2090,AK,7,7210.0,961411.0
2090,AK,8,1310.0,526298.0
2100,AK,1,30.0,-986.0
2100,AK,2,240.0,1193.0
2100,AK,3,310.0,5283.0
2100,AK,4,330.0,11813.0
2100,AK,5,180.0,11067.0
2100,AK,6,130.0,11207.0
2100,AK,7,120.0,15767.0
2100,AK,8,30.0,12130.0
2105,AK,1,30.0,-1469.0
2105,AK,2,250.0,1277.0
2105,AK,3,250.0,4216.0
2105,AK,4,260.0,9283.0
2105,AK,5,140.0,8669.0
2105,AK,6,70.0,5799.0
2105,AK,7,100.0,25872.0
2105,AK,8,0.0,0.0
2110,AK,1,160.0,-5979.0
2110,AK,2,2530.0,11864.0
2110,AK,3,2640.0,44702.0
2110,AK,4,3820.0,142227.0
2110,AK,5,2680.0,165416.0
2110,AK,6,2090.0,181068.0
2110,AK,7,3140.0,421341.0
2110,AK,8,600.0,213368.0
2122,AK,1,500.0,-27156.0
2122,AK,2,4710.0,23282.0
2122,AK,3,5240.0,89363.0
2122,AK,4,5940.0,215582.0
2122,AK,5,4230.0,262105.0
2122,AK,6,3070.0,266321.0
2122,AK,7,4520.0,613679.0
2122,AK,8,990.0,367720.0
2130,AK,1,100.0,-6237.0
2130,AK,2,1140.0,5826.0
2130,AK,3,1430.0,24401.0
2130,AK,4,1640.0,60215.0
2130,AK,5,1120.0,69237.0
2130,AK,6,730.0,63304.0
2130,AK,7,940.0,124270.0
2130,AK,8,200.0,94052.0
2150,AK,1,90.0,-2951.0
2150,AK,2,980.0,4852.0
2150,AK,3,1460.0,26065.0
2150,AK,4,1880.0,67612.0
2150,AK,5,1060.0,65127.0
2150,AK,6,680.0,59177.0
2150,AK,7,860.0,113183.0
2150,AK,8,170.0,59442.0
2164,AK,1,0.0,0.0
2164,AK,2,190.0,933.0
2164,AK,3,170.0,2964.0
2164,AK,4,180.0,6509.0
2164,AK,5,100.0,5906.0
2164,AK,6,60.0,5004.0
2164,AK,7,70.0,11059.0
2164,AK,8,0.0,0.0
2170,AK,1,450.0,-24301.0
2170,AK,2,6740.0,30948.0
2170,AK,3,7110.0,121527.0
2170,AK,4,8690.0,318991.0
2170,AK,5,6420.0,399762.0
2170,AK,6,5120.0,445186.0
2170,AK,7,7430.0,993694.0
2170,AK,8,1330.0,464912.0
2180,AK,1,30.0,-508.0
2180,AK,2,900.0,4420.0
2180,AK,3,930.0,15865.0
2180,AK,4,870.0,32067.0
2180,AK,5,520.0,31712.0
2180,AK,6,230.0,20103.0
2180,AK,7,370.0,50066.0
2180,AK,8,50.0,18297.0
2185,AK,1,0.0,0.0
2185,AK,2,830.0,3133.0
2185,AK,3,560.0,9467.0
2185,AK,4,720.0,27073.0
2185,AK,5,530.0,32601.0
2185,AK,6,270.0,23373.0
2185,AK,7,440.0,59771.0
2185,AK,8,70.0,19915.0
2188,AK,1,0.0,0.0
2188,AK,2,650.0,3303.0
2188,AK,3,560.0,9323.0
2188,AK,4,630.0,23158.0
2188,AK,5,330.0,20626.0
2188,AK,6,200.0,16995.0
2188,AK,7,310.0,42485.0
2188,AK,8,40.0,11585.0
2195,AK,1,40.0,-6092.0
2195,AK,2,310.0,1548.0
2195,AK,3,350.0,6129.0
2195,AK,4,460.0,16694.0
2195,AK,5,310.0,19385.0
2195,AK,6,200.0,17481.0
2195,AK,7,260.0,34712.0
2195,AK,8,60.0,21922.0
2198,AK,1,40.0,-1081.0
2198,AK,2,490.0,2343.0
2198,AK,3,490.0,8044.0
2198,AK,4,550.0,20161.0
2198,AK,5,360.0,22266.0
2198,AK,6,210.0,17777.0
2198,AK,7,230.0,29586.0
2198,AK,8,40.0,19999.0
2220,AK,1,80.0,-2583.0
2220,AK,2,690.0,3537.0
2220,AK,3,830.0,14501.0
2220,AK,4,1180.0,43318.0
2220,AK,5,720.0,44430.0
2220,AK,6,450.0,38579.0
2220,AK,7,610.0,79804.0
2220,AK,8,130.0,58411.0
2230,AK,1,0.0,0.0
2230,AK,2,80.0,334.0
2230,AK,3,200.0,3455.0
2230,AK,4,180.0,6259.0
2230,AK,5,110.0,6762.0
2230,AK,6,80.0,6613.0
2230,AK,7,80.0,11114.0
2230,AK,8,20.0,8109.0
2240,AK,1,70.0,-2655.0
2240,AK,2,520.0,2491.0
2240,AK,3,640.0,10958.0
2240,AK,4,740.0,26888.0
2240,AK,5,490.0,30539.0
2240,AK,6,360.0,30908.0
2240,AK,7,470.0,60276.0
2240,AK,8,30.0,9609.0
2261,AK,1,90.0,-4989.0
2261,AK,2,840.0,4048.0
2261,AK,3,920.0,15790.0
2261,AK,4,1070.0,39761.0
2261,AK,5,750.0,45960.0
2261,AK,6,520.0,45045.0
2261,AK,7,780.0,107245.0
2261,AK,8,170.0,57672.0
2270,AK,1,0.0,0.0
2270,AK,2,1310.0,5483.0
2270,AK,3,860.0,14137.0
2270,AK,4,550.0,19305.0
2270,AK,5,220.0,13478.0
2270,AK,6,90.0,8040.0
2270,AK,7,70.0,8485.0
2270,AK,8,0.0,0.0
2275,AK,1,0.0,0.0
2275,AK,2,210.0,618.0
2275,AK,3,230.0,3710.0
2275,AK,4,270.0,9813.0
2275,AK,5,160.0,10161.0
2275,AK,6,110.0,9406.0
2275,AK,7,130.0,19712.0
2275,AK,8,0.0,0.0
2282,AK,1,0.0,0.0
2282,AK,2,60.0,7.0
2282,AK,3,60.0,1064.0
2282,AK,4,80.0,2935.0
2282,AK,5,40.0,2769.0
2282,AK,6,20.0,1766.0
2282,AK,7,30.0,4592.0
2282,AK,8,0.0,0.0
2290,AK,1,30.0,-351.0
2290,AK,2,860.0,3751.0
2290,AK,3,700.0,11682.0
2290,AK,4,590.0,21143.0
2290,AK,5,300.0,18588.0
2290,AK,6,170.0,14826.0
2290,AK,7,180.0,24240.0
2290,AK,8,0.0,0.0
4000,AZ,1,47470.0,-5785137.0
4000,AZ,2,386000.0,2118195.0
4000,AZ,3,703860.0,12112391.0
4000,AZ,4,704860.0,25320649.0
4000,AZ,5,367170.0,22583550.0
4000,AZ,6,230560.0,19952692.0
4000,AZ,7,288000.0,38479822.0
